Log Cluster: ID_20251013_135832_746677
------------------------------------------------
SETTINGS:
Minimum Confidence: 0.15
Minimum Area: 200
Aspect Ratio Range: 0.15 - 10.0
Frame Resolution: 600 x 1020
------------------------------------------------
ID: 47 | frame: 141 | start: 2025-10-13 14:00:02.733 | end: 2025-10-13 14:00:02.738 | process: 0.005s | people detected: 3
ID: 48 | frame: 144 | start: 2025-10-13 14:00:04.614 | end: 2025-10-13 14:00:04.619 | process: 0.005s | people detected: 2
ID: 49 | frame: 147 | start: 2025-10-13 14:00:06.460 | end: 2025-10-13 14:00:06.468 | process: 0.008s | people detected: 2
ID: 50 | frame: 150 | start: 2025-10-13 14:00:08.259 | end: 2025-10-13 14:00:08.264 | process: 0.005s | people detected: 1
ID: 51 | frame: 153 | start: 2025-10-13 14:00:10.235 | end: 2025-10-13 14:00:10.239 | process: 0.005s | people detected: 3
ID: 52 | frame: 156 | start: 2025-10-13 14:00:12.065 | end: 2025-10-13 14:00:12.070 | process: 0.005s | people detected: 2
ID: 53 | frame: 159 | start: 2025-10-13 14:00:13.959 | end: 2025-10-13 14:00:13.966 | process: 0.007s | people detected: 3
ID: 54 | frame: 162 | start: 2025-10-13 14:00:15.835 | end: 2025-10-13 14:00:15.840 | process: 0.005s | people detected: 3
ID: 55 | frame: 165 | start: 2025-10-13 14:00:17.771 | end: 2025-10-13 14:00:17.779 | process: 0.008s | people detected: 3
ID: 56 | frame: 168 | start: 2025-10-13 14:00:19.691 | end: 2025-10-13 14:00:19.697 | process: 0.007s | people detected: 3
ID: 57 | frame: 171 | start: 2025-10-13 14:00:21.566 | end: 2025-10-13 14:00:21.571 | process: 0.005s | people detected: 1
ID: 58 | frame: 174 | start: 2025-10-13 14:00:23.459 | end: 2025-10-13 14:00:23.464 | process: 0.004s | people detected: 2
ID: 59 | frame: 177 | start: 2025-10-13 14:00:25.300 | end: 2025-10-13 14:00:25.307 | process: 0.007s | people detected: 2
ID: 60 | frame: 180 | start: 2025-10-13 14:00:27.122 | end: 2025-10-13 14:00:27.128 | process: 0.005s | people detected: 3
