Log Cluster: ID_20251016_154622_715613
------------------------------------------------
SETTINGS:
Minimum Confidence: 0.15
Minimum Area: 200
Aspect Ratio Range: 0.15 - 10.0
Frame Resolution: 600 x 1020
------------------------------------------------
ID: 1 | frame: 3 | start: 2025-10-16 15:46:26.322 | end: 2025-10-16 15:46:26.326 | process: 0.005s | people detected: 2
ID: 2 | frame: 6 | start: 2025-10-16 15:46:27.535 | end: 2025-10-16 15:46:27.540 | process: 0.004s | people detected: 2
ID: 3 | frame: 9 | start: 2025-10-16 15:46:28.536 | end: 2025-10-16 15:46:28.539 | process: 0.003s | people detected: 3
ID: 4 | frame: 12 | start: 2025-10-16 15:46:29.547 | end: 2025-10-16 15:46:29.550 | process: 0.003s | people detected: 3
ID: 5 | frame: 15 | start: 2025-10-16 15:46:30.560 | end: 2025-10-16 15:46:30.564 | process: 0.003s | people detected: 3
ID: 6 | frame: 18 | start: 2025-10-16 15:46:31.551 | end: 2025-10-16 15:46:31.555 | process: 0.004s | people detected: 3
ID: 7 | frame: 21 | start: 2025-10-16 15:46:32.398 | end: 2025-10-16 15:46:32.401 | process: 0.004s | people detected: 4
ID: 8 | frame: 24 | start: 2025-10-16 15:46:33.019 | end: 2025-10-16 15:46:33.023 | process: 0.004s | people detected: 3
ID: 9 | frame: 27 | start: 2025-10-16 15:46:33.677 | end: 2025-10-16 15:46:33.680 | process: 0.003s | people detected: 3
ID: 10 | frame: 30 | start: 2025-10-16 15:46:34.325 | end: 2025-10-16 15:46:34.329 | process: 0.004s | people detected: 5
ID: 11 | frame: 33 | start: 2025-10-16 15:46:35.000 | end: 2025-10-16 15:46:35.003 | process: 0.003s | people detected: 3
ID: 12 | frame: 36 | start: 2025-10-16 15:46:35.913 | end: 2025-10-16 15:46:35.916 | process: 0.003s | people detected: 3
ID: 13 | frame: 39 | start: 2025-10-16 15:46:36.893 | end: 2025-10-16 15:46:36.896 | process: 0.003s | people detected: 3
